Node_ID,Node_Name,Node_Type
0100501,Empire Canal,DIV
0100503_D,Riverside Div System,DIV
0100503_I,Riverside Irrigation,DIV
0100507_D,Bijou Div System,DIV
0100507_I,Bijou Irrigation,DIV
0100511,WELDON VALLEY DITCH,DIV
0100513,Jackson Lake Inlet,DIV
0100514,Ft Morgan Canal,DIV
0100515,UPPER PLATTE BEAVER CNL,DIV
0100517,DEUEL SNYDER CANAL,DIV
0100518,LOWER PLATTE BEAVER D,DIV
0100519_D,Tremont Div System,DIV
0100520,GILL STEVENS DITCH,DIV
0100524,TROWELL DITCH,DIV
0100525,TETSEL DITCH,DIV
0100526,JOHNSON EDWARDS DITCH,DIV
0100565,MAGUIRE DITCH,DIV
0100570,EAST GULCH DITCH,DIV
0100620,CONSOLIDATED LARSON D,DIV
0100687,N Sterling Div System,DIV
0100687_I,N Sterling Irrigation,DIV
0100688,UNION DITCH,DIV
0100829,Prewitt Res Inlet,DIV
0103576,BRAMKAMP RES,DIV
0103817_I,Jackson Irrigation,DIV
01_ADP037,South Platte River below,DIV
0200800,Farmers Gardeners Ditch,DIV
0200802,Burlington Canal,DIV
0200805,Denver Hudson Canal,DIV
0200805_I,Henrylyn Irrigators,DIV
0200806,Gardeners Ditch,DIV
0200808,Fulton Ditch,DIV
0200808_A,Fulton Aug Stn,DIV
0200808_I,Fulton Irrig Div,DIV
0200809,BRANTNER DITCH,DIV
0200810,Brighton Ditch,DIV
0200810_A,Brighton Aug Stn,DIV
0200810_I,Brighton Irrig Div,DIV
0200812,Lupton Bottom Ditch,DIV
0200812_A,Lupt Btm Aug Stn,DIV
0200812_I,Lupton Bottom Irrig Div,DIV
0200813,Platteville Ditch,DIV
0200813_A,Platteville Aug Stn,DIV
0200813_I,Platteville Irrig Div,DIV
0200817,Evans No 2 Ditch,DIV
0200817_I,Evans No 2 Irrigators,DIV
0200821,MEADOW ISLAND 1 DITCH,DIV
0200821_A,Mdw Isl 1 Aug Stn,DIV
0200822,MEADOW ISLAND DITCH,DIV
0200822_A,Mdw Isl 2 Aug Stn,DIV
0200824,Farmers Indep Ditch,DIV
0200824_A,Farm Ind Aug Stn,DIV
0200824_I,Farmers Indep Irrig Div,DIV
0200825,Hewes Cook Ditch,DIV
0200825_A,Hewes Cook Aug Stn,DIV
0200825_I,Hewes Cook Irrig Div,DIV
0200826,JAY THOMAS DITCH,DIV
0200828,Union Ditch,DIV
0200828_I,Union Ditch Irrigators,DIV
0200830,SECTION NO 3 DITCH,DIV
0200830_A,Sec No 3 Aug Stn,DIV
0200834,Lower Latham Ditch,DIV
0200834_I,Lower Latham Irrigators,DIV
0200836,PATTERSON DITCH,DIV
0200837,Highland Ditch,DIV
0200837_A,Highland Aug Stn,DIV
0200837_I,Highland Irrig Div,DIV
0200871,WHIPPLE DITCH,DIV
0200872,GERMAN DITCH,DIV
0200873,BIG DRY CREEK DITCH,DIV
0200874,YOXALL DITCH,DIV
0200915,Little Burlington,DIV
0200992,Westminster Standley PL2,DIV
0200993,Northglenn Standley PL,DIV
0200994,Thornton Standley PL,DIV
0203837_C,O'Brian Canal,DIV
0203837_I,Barr Irrigators,DIV
0203876_I,Milton Irrigators,DIV
02_ADP003,WD2 Agg SW Divn,DIV
02_ChrkPP,Cherokee Power Plant,DIV
