"Node","Node_ID","Node_Name","Node_Order","Node_Type","Downstream_Node","Latitude","Longitude","County"
06701500,06701500,SOUTH PLATTE RIVER BELOW,0,StreamGage,06707500,39.209156,-105.267769,JEFFERSON
06708000,06708000,SOUTH PLATTE RIVER AT WA,0,StreamGage,08_ADP003,39.488323,-105.092766,JEFFERSON
06696000,06696000,SOUTH PLATTE RIVER NEAR,0,StreamGage,23_AUP002_I,38.905270,-105.473328,PARK
8003550,8003550,CHEESMAN RES,0,StreamGage,80_ARP019,39.199914,-105.283737,PARK
PLAANTCO,PLAANTCO,SOUTH PLATTE RIVER BELOW,0,StreamGage,2302922,38.993326,-105.890017,
06707500,06707500,SOUTH PLATTE RIVER AT SO,0,StreamGage,AurStronPln,39.409157,-105.169991,JEFFERSON
2302123,2302123,FOURMILE CREEK MIN FLOW,0,StreamGage,2302201,38.879478,-106.163976,PARK
0900767,0900767,INDEPENDENT HIGHLINE DIT,0,StreamGage,0900535,39.620439,-105.199463,JEFFERSON
09_ADP003,09_ADP003,WD9 Agg SW Divn,0,StreamGage,0902115,,,
06695000,06695000,S PLATTE RIV AB 11-MILE,0,StreamGage,2303965,38.967492,-105.581390,PARK
0900963_D,0900963_D,Warrior/Harriman Ditch,0,StreamGage,0900731_D,,,
2302103,2302103,SO FORK SO PLATTE MIN FL,0,StreamGage,2300500,39.067383,-106.232877,PARK
2300902,2300902,PETRIE DITCH,0,StreamGage,2300904,39.310748,-105.816381,PARK
23_ADP002,23_ADP002,WD23 Taryall Agg SW Divn,0,StreamGage,TARTARCO,,,
2302119,2302119,TARRYALL CREEK MIN FLOW,0,StreamGage,2302906,39.342220,-106.008344,PARK
2302918,2302918,DIXON FLUME ON HOLLTHUSE,0,StreamGage,2302918_A,39.342512,-105.904141,PARK
06711565,06711565,SOUTH PLATTE RIVER AT EN,0,StreamGage,0801014,39.664987,-105.004149,ARAPAHOE
2302915,2302915,ROCK CREEK ABOVE CONFLUE,0,StreamGage,2302915_A,39.291347,-105.699473,PARK
2300760,2300760,SACRAMENTO DITCH,0,StreamGage,2302148,39.224848,-106.051440,PARK
2302911,2302911,TROUT CREEK NEAR GARO,0,StreamGage,2302911_A,39.123331,-105.890355,PARK
2302912,2302912,SPRING BRANCH ABOVE CONF,0,StreamGage,2302912_A,39.167320,-105.954946,PARK
06710500,06710500,BEAR CREEK AT MORRISON,0,StreamGage,0902115_Dwn,39.653042,-105.195824,JEFFERSON
2302916,2302916,SCHATTINGER FLUME ABOVE,0,StreamGage,2302916_A,39.372037,-105.866593,PARK
06711500,06711500,BEAR CREEK AT SHERIDAN,0,StreamGage,06711565,39.652210,-105.033035,ARAPAHOE
06754000,06754000,SOUTH PLATTE RIVER NEAR,0,StreamGage,9903334_D,40.411926,-104.562737,WELD
06758500,06758500,SOUTH PLATTE RIVER NEAR,0,StreamGage,0100517,40.321388,-103.920280,MORGAN
06720500,06720500,SOUTH PLATTE RIVER AT HE,0,StreamGage,0200810,39.921928,-104.868866,ADAMS
06721000,06721000,SOUTH PLATTE RIVER AT FO,0,StreamGage,CenPVRFs,40.116094,-104.818583,WELD
0700569,0700569,FARMERS HIGHLINE CNL,0,StreamGage,0700569_A,39.758703,-105.218470,JEFFERSON
0100513,0100513,JACKSON LAKE INLET DITCH,0,StreamGage,0100511,40.307046,-104.250028,WELD
06716500,06716500,"CLEAR CREEK NEAR LAWSON,",0,StreamGage,0700699,39.765821,-105.626112,CLEAR CREEK
06759910,06759910,SOUTH PLATTE RIVER AT CO,0,StreamGage,0100525,40.357498,-103.528053,MORGAN
6400518,6400518,LONE TREE DITCH,0,StreamGage,6400516,40.740011,-103.063566,LOGAN
06720000,06720000,CLEAR CREEK AT DERBY,0,StreamGage,PSCoSPRFs,39.828320,-104.958870,ADAMS
2302116,2302116,JEFFERSON CK MIN FLOW,0,StreamGage,2303981,39.476024,-105.884522,PARK
06719505,06719505,"CLEAR CREEK AT GOLDEN, C",0,StreamGage,0701000,39.753043,-105.235267,JEFFERSON
06713500,06713500,"CHERRY CREEK AT DENVER,",0,StreamGage,0200800,39.742487,-104.999982,DENVER
RalstonIN,RalstonIN,Ralston Creek Inflow,0,StreamGage,0703324,,,
0801492,0801492,IZZARD DITCH,0,StreamGage,0801412,39.179639,-104.740685,DOUGLAS
