"Date","Node","Natural_Flow_AF"
1950,CLPRF,3085.17
1951,CLPRF,3399.42
1952,CLPRF,3493.67
1953,CLPRF,3254.92
1954,CLPRF,3191.92
1955,CLPRF,2663.00
1956,CLPRF,3367.42
1957,CLPRF,3794.58
1958,CLPRF,3589.75
1959,CLPRF,3645.67
1960,CLPRF,3828.50
1961,CLPRF,3286.83
1962,CLPRF,3616.08
1963,CLPRF,3301.58
1964,CLPRF,3644.25
1965,CLPRF,3227.33
1966,CLPRF,2987.42
1967,CLPRF,2742.00
1968,CLPRF,3606.08
1969,CLPRF,3079.08
1970,CLPRF,3435.33
1971,CLPRF,3638.42
1972,CLPRF,3466.75
1973,CLPRF,3968.83
1974,CLPRF,4458.33
1975,CLPRF,4898.17
1976,CLPRF,4481.58
1977,CLPRF,3941.50
1978,CLPRF,4646.17
1979,CLPRF,3822.92
1980,CLPRF,4558.17
1981,CLPRF,4340.83
1982,CLPRF,4471.33
1983,CLPRF,4316.08
1984,CLPRF,4044.75
1985,CLPRF,4181.92
1986,CLPRF,5276.25
1987,CLPRF,4025.67
1988,CLPRF,4068.42
1989,CLPRF,3506.67
1990,CLPRF,3922.75
1991,CLPRF,3704.17
1992,CLPRF,3593.08
1993,CLPRF,4033.17
1994,CLPRF,3724.00
1995,CLPRF,3530.25
1996,CLPRF,4015.00
1997,CLPRF,3670.00
1998,CLPRF,3922.42
1999,CLPRF,3372.42
2000,CLPRF,3676.00
2001,CLPRF,3298.00
2002,CLPRF,3049.42
2003,CLPRF,3654.50
2004,CLPRF,3513.83
2005,CLPRF,3953.67
2006,CLPRF,4011.17
2007,CLPRF,4394.00
2008,CLPRF,4415.08
2009,CLPRF,3825.42
2010,CLPRF,3712.75
2011,CLPRF,3891.08
2012,CLPRF,
1950,06752500,2396.75
1951,06752500,4598.67
1952,06752500,5224.33
1953,06752500,3046.08
1954,06752500,1897.92
1955,06752500,2411.92
1956,06752500,3222.25
1957,06752500,7985.25
1958,06752500,12723.42
1959,06752500,6797.33
1960,06752500,4268.33
1961,06752500,17013.50
1962,06752500,10984.58
1963,06752500,4388.25
1964,06752500,3772.75
1965,06752500,9792.75
1966,06752500,3713.92
1967,06752500,7240.17
1968,06752500,4313.33
1969,06752500,6193.50
1970,06752500,11001.33
1971,06752500,15137.08
1972,06752500,6724.83
1973,06752500,14606.25
1974,06752500,9546.00
1975,06752500,8267.50
1976,06752500,5177.08
1977,06752500,3599.75
1978,06752500,7908.08
1979,06752500,17297.75
1980,06752500,30485.58
1981,06752500,5449.25
1982,06752500,10595.17
1983,06752500,52996.00
1984,06752500,26633.25
1985,06752500,9223.67
1986,06752500,17289.17
1987,06752500,7214.67
1988,06752500,5575.08
1989,06752500,4829.33
1990,06752500,7541.25
1991,06752500,6936.25
1992,06752500,6077.67
1993,06752500,9266.42
1994,06752500,5325.00
1995,06752500,20470.50
1996,06752500,12769.33
1997,06752500,19176.33
1998,06752500,9341.50
1999,06752500,23779.50
2000,06752500,5675.67
2001,06752500,5050.17
2002,06752500,3029.08
2003,06752500,4215.75
2004,06752500,4363.58
2005,06752500,7054.33
2006,06752500,4189.25
2007,06752500,4712.75
2008,06752500,5457.17
2009,06752500,8925.83
2010,06752500,17007.25
2011,06752500,18881.42
2012,06752500,
1950,LTCANYCO,183.08
1951,LTCANYCO,973.58
1952,LTCANYCO,1522.42
1953,LTCANYCO,207.67
1954,LTCANYCO,54.67
1955,LTCANYCO,130.50
1956,LTCANYCO,987.42
1957,LTCANYCO,1001.67
1958,LTCANYCO,1098.00
1959,LTCANYCO,721.42
1960,LTCANYCO,404.67
1961,LTCANYCO,2308.75
1962,LTCANYCO,326.58
1963,LTCANYCO,182.92
1964,LTCANYCO,105.17
1965,LTCANYCO,515.42
1966,LTCANYCO,202.50
1967,LTCANYCO,857.25
1968,LTCANYCO,368.92
1969,LTCANYCO,2333.08
1970,LTCANYCO,1244.17
1971,LTCANYCO,1387.42
1972,LTCANYCO,281.33
1973,LTCANYCO,1693.25
1974,LTCANYCO,653.83
1975,LTCANYCO,697.08
1976,LTCANYCO,510.67
1977,LTCANYCO,273.17
1978,LTCANYCO,1035.00
1979,LTCANYCO,1268.75
1980,LTCANYCO,2436.58
1981,LTCANYCO,355.25
1982,LTCANYCO,592.17
1983,LTCANYCO,1971.17
1984,LTCANYCO,1022.17
1985,LTCANYCO,737.58
1986,LTCANYCO,1148.67
