geometry,moreinfo,statname,dwrabbrev,wdid,usgsstatid,datasource,structtype,stattype,statstatus,variable,stage,amount,units,flag,div,wd,county,utmx,utmy,locaccuracy,latdecdeg,longdecdeg,datetime
"X: -11999676.3948967, Y: 4706708.28305007, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LELAHICO&MTYPE=DISCHRG,HIGHLINE DITCH ON LEROUX CREEK NEAR LAZEAR,LELAHICO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.58,6.41,CFS,,4,40,DELTA,257607,4308889,User supplied,38.895461,-107.794927,8/13/2018 12:15
"X: -11783912.799193, Y: 4913403.70631591, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09010500,"COLORADO R BELOW BAKER GULCH, NR GRAND LAKE, CO.",COLBAKCO,,9010500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,16.5,CFS,,5,51,GRAND,427222.4,4464272.9,User supplied,40.325818,-105.856679,8/13/2018 12:00
"X: -11816454.5855354, Y: 4524409.30670628, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RIOMONCO&MTYPE=DISCHRG,RIO GRANDE RIVER AT MONTE VISTA,RIOMONCO,,8221500,Co. Division of Water Resources,,Stream,Active,DISCHRG,2.2,56.2,CFS,,3,20,RIO GRANDE,398585.9,4163111.3,,37.609512,-106.149016,8/13/2018 12:15
"X: -11774065.3674128, Y: 4593600.00167452, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CHECRECO&MTYPE=DISCHRG,WILD CHERRY CREEK NEAR CRESTONE,CHECRECO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.51,0.24,CFS,,3,25,SAGUACHE,432643.9,4217218,User supplied,38.100268,-105.768228,8/13/2018 12:45
"X: -11784067.2083152, Y: 4869897.44320527, Z: NaN",http://www.northernwater.org/WaterProjects/WestSlopeWaterData.aspx,COLORADO RIVER AT GRAND LAKE (NORTH FORK),COLGRAND,,WS1922,Northern Colorado Water Conservancy District (Data Provider),,Stream,Active,DISCHRG,3.58,20.52,CFS,,5,51,GRAND,426784.3,4431129.4,User supplied,40.027206,-105.858067,8/13/2018 12:00
"X: -11892156.6621374, Y: 4907671.39190747, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09237500,YAMPA RIVER BELOW STAGECOACH RESERVOIR,YAMBSRCO,5808008,9237500,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,65.3,CFS,,6,58,ROUTT,344523,4461167,User supplied,40.286548,-106.82905,8/13/2018 12:21
"X: -11873045.4466789, Y: 4628289.90719421, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TOMMYDCO&MTYPE=DISCHRG,TOMMY DITCH NEAR DOYLEVILLE,TOMMYDCO,,,Co. Division of Water Resources,,Stream,No gag,DISCHRG,-0.01,0,CFS,,4,28,SAGUACHE,355167,4245403,,38.345084,-106.657382,8/13/2018 12:30
"X: -11786324.6725178, Y: 4852871.31085904, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09026500,"ST. LOUIS CREEK NEAR FRASER, CO.",SLOFRACO,,9026500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,10.2,CFS,,5,51,GRAND,424925.8,4418135.9,User supplied,39.909987,-105.878345,8/13/2018 12:30
"X: -11665285.2329982, Y: 4525459.11614497, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=GOMDITCO&MTYPE=DISCHRG,GOMEZ DITCH,GOMDITCO,,GOMDITCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.04,0.06,CFS,,2,16,HUERFANO,518442,4163340,,37.616986,-104.79104,8/13/2018 12:30
"X: -11881982.7187591, Y: 4443335.22290256, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=NAVOSOCO&MTYPE=DISCHRG1,NAVAJO RIVER BELOW OSO DIVERSION DAM NEAR CHROMO,NAVOSOCO,,9344400,Co. Division of Water Resources,,Stream,Active,DISCHRG1,0.73,18.3,CFS,,7,77,ARCHULETA,345445,4099648,,37.03033,-106.737667,8/13/2018 12:45
