"Transbasin_Diversion","Mean_Annual_Flow_Diverted_AF"
Wilson Supply Ditch,2306.5797
Deadman Ditch,840.6945
Bob Creek Ditch,273.9270
Columbine Ditch,110.1063
Laramie Poudre Tunnel,14483.1565
Skyline Ditch,6689.6793
Cameron Pass Ditch,187.8251
Michigan Ditch,2706.8483
Grand River Ditch,17346.9700
Colorado-Big Thompson Project,214309.9395
Moffat Collection System Project,46392.3791
Berthoud Pass Ditch,676.9076
Straight Creek Tunnel,296.2901
Vidler Collection System,524.3554
Roberts Tunnel Collection System,56586.1274
Boreas Pass Ditch,149.9570
Continental-Hoosier Diversion System,8385.2999
