"Date","2002-Much-Below-Normal","2006-Below-Normal","2010-Normal","2001-Above-Normal","1995-Much-Above-Normal"
01-01,50.00,53.00,50.00,48.00,63.00
01-02,52.00,52.00,49.00,49.00,63.00
01-03,73.00,55.00,50.00,48.00,65.00
01-04,57.00,51.00,49.00,49.00,59.00
01-05,52.00,49.00,48.00,50.00,58.00
01-06,52.00,44.00,45.00,49.00,58.00
01-07,53.00,42.00,43.00,49.00,55.00
01-08,52.00,42.00,45.00,47.00,55.00
01-09,53.00,43.00,43.00,47.00,56.00
01-10,56.00,40.00,44.00,44.00,56.00
01-11,57.00,41.00,43.00,46.00,56.00
01-12,55.00,45.00,44.00,52.00,54.00
01-13,54.00,42.00,42.00,57.00,54.00
01-14,54.00,40.00,43.00,57.00,54.00
01-15,53.00,42.00,42.00,57.00,54.00
01-16,55.00,44.00,42.00,55.00,52.00
01-17,54.00,45.00,41.00,57.00,52.00
01-18,59.00,40.00,42.00,57.00,50.00
01-19,58.00,44.00,41.00,56.00,49.00
01-20,56.00,48.00,42.00,52.00,49.00
01-21,51.00,48.00,40.00,55.00,53.00
01-22,50.00,47.00,39.00,54.00,54.00
01-23,51.00,51.00,38.00,52.00,58.00
01-24,54.00,55.00,37.00,53.00,53.00
01-25,53.00,52.00,39.00,50.00,51.00
01-26,48.00,50.00,38.00,54.00,49.00
01-27,47.00,52.00,39.00,50.00,47.00
01-28,48.00,50.00,38.00,52.00,49.00
01-29,47.00,50.00,38.00,50.00,51.00
01-30,47.00,53.00,39.00,49.00,52.00
01-31,45.00,52.00,39.00,50.00,53.00
02-01,49.00,50.00,38.00,51.00,50.00
02-02,44.00,48.00,38.00,51.00,52.00
02-03,44.00,46.00,38.00,51.00,47.00
02-04,46.00,47.00,37.00,52.00,47.00
02-05,43.00,47.00,36.00,64.00,47.00
02-06,42.00,46.00,35.00,56.00,50.00
02-07,41.00,46.00,35.00,57.00,47.00
02-08,42.00,47.00,39.00,57.00,48.00
02-09,40.00,47.00,38.00,60.00,55.00
02-10,48.00,48.00,36.00,61.00,45.00
02-11,41.00,49.00,30.00,62.00,71.00
02-12,41.00,49.00,25.00,62.00,72.00
02-13,40.00,51.00,24.00,64.00,70.00
02-14,41.00,49.00,23.00,76.00,78.00
02-15,41.00,47.00,24.00,64.00,95.00
02-16,41.00,48.00,22.00,58.00,76.00
02-17,40.00,47.00,22.00,54.00,60.00
02-18,41.00,46.00,23.00,53.00,65.00
02-19,42.00,47.00,22.00,50.00,54.00
02-20,43.00,48.00,23.00,49.00,57.00
02-21,42.00,48.00,23.00,49.00,55.00
02-22,41.00,47.00,24.00,49.00,49.00
02-23,41.00,45.00,25.00,48.00,49.00
02-24,41.00,43.00,23.00,47.00,49.00
02-25,43.00,42.00,22.00,46.00,47.00
02-26,45.00,44.00,22.00,51.00,49.00
02-27,46.00,42.00,24.00,52.00,55.00
02-28,47.00,43.00,23.00,52.00,45.00
03-01,48.00,42.00,22.00,51.00,59.00
