Crop,Node,Water_Requirement_inches_per_season,Town
Alfalfa,0,44.1,Burlington
Alfalfa,1,51.6,Cheyenne Wells
Alfalfa,2,46.2,Penrose
Alfalfa,3,46.3,Holly
Alfalfa,4,37.1,Greeley
Alfalfa,5,49.7,Lamar
Alfalfa,6,43.5,Fort Lupton
Alfalfa,7,45.7,Rocky Ford
Alfalfa,8,59,Walsh
Alfalfa,9,39.2,Iliff
Alfalfa,10,46.4,Trinidad
Alfalfa,11,26.2,Wray
Grass hay/pasture,0,29.9,Burlington
Grass hay/pasture,1,35.2,Cheyenne Wells
Grass hay/pasture,2,31.4,Penrose
Grass hay/pasture,3,31.5,Holly
Grass hay/pasture,4,25.7,Greeley
Grass hay/pasture,5,33.8,Lamar
Grass hay/pasture,6,29.8,Fort Lupton
Grass hay/pasture,7,31,Rocky Ford
Grass hay/pasture,8,39.9,Walsh
Grass hay/pasture,9,26.9,Iliff
Grass hay/pasture,10,31.5,Trinidad
Grass hay/pasture,11,25,Wray
Dry beans,0,15.7,Burlington
Dry beans,1,21.8,Cheyenne Wells
Dry beans,2,19.7,Penrose
Dry beans,3,19.3,Holly
Dry beans,4,15.7,Greeley
Dry beans,5,20.8,Lamar
Dry beans,6,17.7,Fort Lupton
Dry beans,7,18.4,Rocky Ford
Dry beans,8,24.6,Walsh
Dry beans,9,16.9,Iliff
Dry beans,10,18.4,Trinidad
Dry beans,11,16.6,Wray
Grain Corn,0,26.2,Burlington
Grain Corn,1,28.2,Cheyenne Wells
Grain Corn,2,26.6,Penrose
Grain Corn,3,26.3,Holly
Grain Corn,4,23.9,Greeley
Grain Corn,5,27.4,Lamar
Grain Corn,6,25.9,Fort Lupton
Grain Corn,7,26.5,Rocky Ford
Grain Corn,8,29.3,Walsh
Grain Corn,9,24.5,Iliff
Grain Corn,10,26.7,Trinidad
Grain Corn,11,24.5,Wray
Silage Corn,0,25.2,Burlington
Silage Corn,1,27.2,Cheyenne Wells
Silage Corn,2,25.6,Penrose
Silage Corn,3,25.3,Holly
Silage Corn,4,22.9,Greeley
Silage Corn,5,26.4,Lamar
Silage Corn,6,24.9,Fort Lupton
Silage Corn,7,25.5,Rocky Ford
Silage Corn,8,28.3,Walsh
Silage Corn,9,23.5,Iliff
Silage Corn,10,25.7,Trinidad
Silage Corn,11,23.5,Wray
Sweet Corn,0,24,Burlington
Sweet Corn,1,25.8,Cheyenne Wells
Sweet Corn,2,24.3,Penrose
Sweet Corn,3,24.1,Holly
Sweet Corn,4,21.9,Greeley
Sweet Corn,5,25.1,Lamar
Sweet Corn,6,23.7,Fort Lupton
Sweet Corn,7,24.3,Rocky Ford
Sweet Corn,8,26.8,Walsh
Sweet Corn,9,22.5,Iliff
Sweet Corn,10,24.5,Trinidad
Sweet Corn,11,22.4,Wray
Cantaloupe,0,17.2,Burlington
Cantaloupe,1,23.3,Cheyenne Wells
Cantaloupe,2,20.8,Penrose
Cantaloupe,3,20.8,Holly
Cantaloupe,4,17.2,Greeley
Cantaloupe,5,22.3,Lamar
Cantaloupe,6,19.1,Fort Lupton
Cantaloupe,7,20.6,Rocky Ford
Cantaloupe,8,26.2,Walsh
Cantaloupe,9,17.9,Iliff
Cantaloupe,10,20.6,Trinidad
Cantaloupe,11,16.4,Wray
Potatoes,0,24,Burlington
Potatoes,1,30,Cheyenne Wells
Potatoes,2,27.1,Penrose
Potatoes,3,26.9,Holly
Potatoes,4,20.2,Greeley
Potatoes,5,29.3,Lamar
Potatoes,6,25.3,Fort Lupton
Potatoes,7,25.5,Rocky Ford
Potatoes,8,36.2,Walsh
Potatoes,9,21.7,Iliff
Potatoes,10,26.3,Trinidad
Potatoes,11,20.5,Wray
Onion,0,27.6,Burlington
Onion,1,31.3,Cheyenne Wells
Onion,2,28.5,Penrose
Onion,3,28.6,Holly
Onion,4,24.2,Greeley
Onion,5,30.2,Lamar
Onion,6,27.5,Fort Lupton
Onion,7,28.2,Rocky Ford
Onion,8,34.1,Walsh
Onion,9,25.3,Iliff
Onion,10,28.6,Trinidad
Onion,11,24.2,Wray
Small vegetables,0,22.7,Burlington
Small vegetables,1,31.5,Cheyenne Wells
Small vegetables,2,28.5,Penrose
Small vegetables,3,28.2,Holly
Small vegetables,4,22.7,Greeley
Small vegetables,5,30.2,Lamar
Small vegetables,6,25.4,Fort Lupton
Small vegetables,7,27,Rocky Ford
Small vegetables,8,36,Walsh
Small vegetables,9,24.1,Iliff
