"Date","Denver_Total_Demand","Aurora_Total_Demand","Boulder_Total_Demand"
2000-01-01,11340.0000,2540.0000,1183.9999
2000-02-01,10889.0000,2450.0000,1230.0000
2000-03-01,12363.0000,2978.0000,1411.9999
2000-04-01,17614.0000,3854.0001,1711.0000
2000-05-01,27490.0000,6277.0000,2608.9999
2000-06-01,35824.0000,8170.0000,3158.9999
2000-07-01,40041.0000,9185.0000,3427.9999
2000-08-01,34745.9980,8542.0000,3357.0001
2000-09-01,26117.0000,6301.0000,2722.0000
2000-10-01,17007.0000,3951.0000,1868.9998
2000-11-01,11646.0000,2682.0000,1386.0000
2000-12-01,11888.0000,2728.0000,1283.9999
2001-01-01,11935.0000,2688.0000,1255.0000
2001-02-01,11617.0010,2440.0000,1139.9999
2001-03-01,11792.0000,2684.0000,1317.0000
2001-04-01,14697.9988,3270.0000,1566.0000
2001-05-01,21318.0010,4998.0000,2078.0000
2001-06-01,33859.9990,7998.0000,2856.0000
2001-07-01,36213.0030,8809.0000,3266.0000
2001-08-01,32996.0010,8444.9995,3048.9999
2001-09-01,29128.9990,7100.0000,2568.0001
2001-10-01,19663.0010,4512.9999,1870.0000
2001-11-01,13366.9990,2852.0000,1457.0000
2001-12-01,12149.0000,2708.0002,1222.0000
2002-01-01,12109.0000,2653.0000,1376.0000
2002-02-01,11241.0000,2424.0000,1267.0000
2002-03-01,13034.0000,2742.0000,1415.0000
2002-04-01,21967.0000,4793.0000,1860.0000
2002-05-01,28013.0000,6514.0000,2321.0000
2002-06-01,31618.0000,6711.0000,2081.0001
2002-07-01,32659.0000,7856.0000,2293.0000
2002-08-01,29148.0000,7289.0000,2236.0001
2002-09-01,18887.9995,4692.0000,1940.0000
2002-10-01,11790.0000,3272.0000,1501.0000
2002-11-01,10717.0000,2582.0000,1245.0000
2002-12-01,11642.9990,2618.0000,1161.0000
2003-01-01,11085.9990,2545.0002,1144.9999
2003-02-01,9875.9990,2215.0000,1021.0000
2003-03-01,10371.9990,2441.0000,1199.9999
2003-04-01,10272.0000,2460.0000,1135.0000
2003-05-01,15765.0000,3211.0000,1613.9999
2003-06-01,19254.9990,3763.0000,1902.0000
2003-07-01,29406.0000,5733.0000,2910.9999
2003-08-01,28251.0000,5678.0000,2559.9999
2003-09-01,22365.0000,4578.0000,2157.9999
2003-10-01,20064.0000,4186.0000,1793.9998
2003-11-01,11179.0000,2413.0000,1078.0000
2003-12-01,11716.0000,2406.9998,1069.9999
2004-01-01,11310.0000,2423.0000,1175.0000
2004-02-01,10828.0000,2213.0000,1109.9999
2004-03-01,11546.0000,2522.9998,1165.0000
2004-04-01,12372.0000,2697.0000,1242.9999
2004-05-01,18594.0000,4327.9998,1818.0000
2004-06-01,20239.0000,4988.0000,2105.9999
2004-07-01,23650.9990,5498.9998,2196.0000
2004-08-01,22838.0000,5183.9998,2149.0000
2004-09-01,20411.0000,4863.0000,1963.0000
2004-10-01,13690.0000,3258.9998,1439.0000
2004-11-01,10745.0000,2443.0000,1094.9999
2004-12-01,10632.0000,2470.0000,1024.0000
2005-01-01,10487.0000,2435.0002,1058.0000
2005-02-01,9623.0000,2259.0000,949.0001
2005-03-01,11412.0010,2610.0000,1104.0000
2005-04-01,11484.0001,2678.9998,1152.0000
2005-05-01,19741.0020,4697.0000,1617.0000
2005-06-01,24340.9990,5526.9998,2040.9999
2005-07-01,34986.0010,7789.0000,2998.0000
2005-08-01,27914.0010,6262.0000,2516.0000
2005-09-01,25717.0000,6245.9998,2312.0000
2005-10-01,14515.0008,3297.0000,1374.0000
2005-11-01,10987.0000,2520.9998,1060.0000
2005-12-01,10849.0000,2561.0002,1016.0000
2006-01-01,11101.0000,2596.0000,1007.0000
2006-02-01,10447.0000,2329.0000,918.0000
2006-03-01,10939.0010,2657.0000,1057.0000
2006-04-01,17271.9995,3764.0002,1444.0000
2006-05-01,26396.0010,6000.0000,2274.0000
2006-06-01,34660.0000,7558.0002,2885.0000
2006-07-01,31875.0010,7028.0000,2620.0000
2006-08-01,28807.0010,6494.0000,2564.0000
2006-09-01,22103.0000,5231.0004,2022.0000
2006-10-01,14650.0010,3466.0000,1314.0000
2006-11-01,11358.0000,2438.0002,990.0000
2006-12-01,11198.0000,2337.0000,961.0000
2007-01-01,11304.9990,2428.0000,972.0000
2007-02-01,10438.0000,2274.0000,898.9999
2007-03-01,10929.0000,2607.0000,984.0000
2007-04-01,11791.0000,2899.0001,1010.0001
2007-05-01,18323.9985,4448.0000,1473.0000
2007-06-01,28902.0020,6594.0000,2306.0002
2007-07-01,35824.9990,8326.9995,2829.9999
2007-08-01,28532.9990,6560.0000,2585.9999
2007-09-01,23987.0000,5665.0000,2115.0000
2007-10-01,16815.9990,3966.0000,1427.0000
2007-11-01,11316.0000,2382.0000,915.0001
2007-12-01,11067.0000,2344.9998,894.0000
2008-01-01,11263.0010,2459.0000,919.0000
2008-02-01,10350.0000,2263.0000,893.0000
2008-03-01,11386.0010,2564.0000,932.0000
2008-04-01,14508.0000,3094.0000,1115.0000
2008-05-01,20879.0010,4896.0002,1769.0001
2008-06-01,30256.0000,6902.0000,2342.0000
2008-07-01,37260.0030,8400.0000,3054.0000
2008-08-01,29268.0010,6786.0000,2571.0000
2008-09-01,22871.0000,5540.0000,2081.0000
2008-10-01,15211.0015,3440.0000,1283.0000
2008-11-01,10002.0000,2390.0000,976.0000
2008-12-01,10002.0000,2453.0000,907.0000
2009-01-01,10062.9990,2410.0000,990.0000
2009-02-01,9779.0000,2314.9998,917.0000
2009-03-01,12237.0000,2774.0000,1061.0000
2009-04-01,11477.0009,2720.0000,934.0000
2009-05-01,19585.0000,4780.0002,1636.0001
2009-06-01,19469.0020,4852.0000,1686.0001
2009-07-01,25217.0000,5969.0000,2360.0001
2009-08-01,26279.0000,6482.0000,2479.0000
2009-09-01,21999.0010,5368.0000,2018.0000
2009-10-01,11649.0001,2875.0000,1239.0000
2009-11-01,10008.0010,2357.0000,882.0000
2009-12-01,10541.0000,2381.0000,944.0000
2010-01-01,10086.0000,2586.9998,929.0000
2010-02-01,9227.0010,2200.0002,872.0000
2010-03-01,10276.0000,2496.0000,968.0000
2010-04-01,11607.0010,2763.0000,1103.0000
2010-05-01,17987.0000,4484.9998,1452.0000
2010-06-01,26546.0020,6481.9998,2143.9999
2010-07-01,29966.0000,7072.0000,2545.0000
2010-08-01,30083.0000,6935.0000,2708.0000
2010-09-01,28329.0010,6838.0005,2560.0001
2010-10-01,17436.0000,4082.0000,1676.0000
2010-11-01,10450.0010,2446.0000,1051.0000
2010-12-01,10853.0000,2435.0002,1033.0000
2011-01-01,10849.0000,2474.0000,1006.0000
2011-02-01,9831.0000,2240.0000,1069.0000
2011-03-01,11281.0000,2514.0000,1098.0000
2011-04-01,13776.9990,3105.0000,1159.0000
2011-05-01,19049.0000,4860.0000,1453.0000
2011-06-01,27644.9990,6471.0000,2291.0000
2011-07-01,25209.0000,6183.0000,2411.0000
2011-08-01,32122.0000,7649.9995,2859.0000
2011-09-01,24073.9990,5837.0000,1960.9999
2011-10-01,16675.0005,3793.0000,1521.0000
