Year,Node,Percentile,Node_Name,Node_ID,Natural_Flow_AF,Rank,Node_Order
2011,0,29,SOUTH PLATTE RIVER BELOW ANTERO RESERVOIR,PLAANTCO,1398.75,18,912
2011,1,71,"S PLATTE RIV AB 11-MILE CANYON RES, NEAR HARTSEL",6695000,6419,44,931
2011,2,61,SOUTH PLATTE RIVER NEAR LAKE GEORGE,6696000,6519.25,38,936
2011,3,44,ROCK CREEK ABOVE CONFLUENCE WITH TARRYALL CREEK,2302915,365.25,27,864
2011,4,52,SOUTH PLATTE RIVER BELOW CHEESMAN RESERVOIR,6701500,11592.83,32,942
2011,5,66,NORTH FORK SOUTH PLATTE RIVER AT GRANT,PLAGRACO,4162.17,41,796
2011,6,48,NORTH FORK SOUTH PLATTE RIVER AT BAILEY,PLABAICO,4634.25,30,804
2011,7,37,SOUTH PLATTE RIVER AT SOUTH PLATTE,6707500,18320.25,23,943
2011,8,48,SOUTH PLATTE RIVER AT WATERTON,6708000,20091.17,30,956
2011,9,13,PLUM CREEK AT TITAN ROAD NEAR LOUVIERS,6709530,895.08,8,770
2011,10,19,BEAR CREEK AT SHERIDAN,6711500,1642.17,12,993
2011,11,39,SOUTH PLATTE RIVER AT ENGLEWOOD,6711565,23361.33,24,994
2011,12,27,CHERRY CREEK AT DENVER,6713500,988.25,17,1022
2011,13,44,SOUTH PLATTE RIVER AT DENVER,6714000,28343.75,27,1028
2011,14,87,CLEAR CREEK AT DERBY,6720000,20181,54,1273
2011,15,23,COAL CREEK NEAR PLAINVIEW,6730300,122.5,14,436
2011,16,42,BIG DRY CREEK AT WESTMINSTER,6720820,638.42,26,666
2011,17,56,SOUTH PLATTE RIVER AT HENDERSON,6720500,48511.33,35,1290
2011,18,55,SOUTH PLATTE RIVER AT FORT LUPTON,6721000,50748.08,34,1300
2011,19,68,SOUTH BOULDER CREEK NEAR ELDORADO SPRINGS,6729500,4774.25,42,482
2011,20,69,MIDDLE BOULDER CREEK AT NEDERLAND,6725500,3622.5,43,512
2011,21,42,FOURMILE CREEK AT ORODELL,6727500,314.92,26,510
2011,22,87,LEFT HAND CREEK NEAR BOULDER,6724500,963.75,54,402
2011,23,77,BOULDER CREEK AT MOUTH NEAR LONGMONT,6730500,13065.17,48,587
2011,24,81,"ST. VRAIN CREEK AT MOUTH, NEAR PLATTEVILLE",6731000,30075.58,50,596
2011,25,32,LITTLE THOMPSON RIVER AT CANYON MOUTH NEAR BERTHOUD,LTCANYCO,372.75,20,194
2011,26,56,FISH CREEK NEAR ESTES PARK,6734500,107.17,35,254
2011,27,69,"BIG THOMPSON RIVER AT MOUTH, NEAR LA SALLE",6744000,13689.83,43,299
2011,28,69,SOUTH PLATTE RIVER NEAR KERSEY,6754000,117784.75,43,1344
2011,29,71,SOUTH PLATTE RIVER NEAR WELDONA,6758500,121143.25,44,1365
2011,30,71,"SOUTH PLATTE RIVER AT COOPER BRIDGE, NEAR BALZAC",6759910,119804.67,44,1392
2011,31,69,SOUTH PLATTE RIVER AT JULESBURG,6764000,128299.17,43,1442
2010,0,31,SOUTH PLATTE RIVER BELOW ANTERO RESERVOIR,PLAANTCO,1433.58,19,912
2010,1,55,"S PLATTE RIV AB 11-MILE CANYON RES, NEAR HARTSEL",6695000,5507.67,34,931
2010,2,45,SOUTH PLATTE RIVER NEAR LAKE GEORGE,6696000,5853.83,28,936
2010,3,65,ROCK CREEK ABOVE CONFLUENCE WITH TARRYALL CREEK,2302915,450.75,40,864
2010,4,58,SOUTH PLATTE RIVER BELOW CHEESMAN RESERVOIR,6701500,12111.75,36,942
2010,5,18,NORTH FORK SOUTH PLATTE RIVER AT GRANT,PLAGRACO,2747.17,11,796
2010,6,23,NORTH FORK SOUTH PLATTE RIVER AT BAILEY,PLABAICO,3882.25,14,804
2010,7,56,SOUTH PLATTE RIVER AT SOUTH PLATTE,6707500,21027.92,35,943
2010,8,58,SOUTH PLATTE RIVER AT WATERTON,6708000,21708,36,956
2010,9,84,PLUM CREEK AT TITAN ROAD NEAR LOUVIERS,6709530,3759.92,52,770
2010,10,65,BEAR CREEK AT SHERIDAN,6711500,3520.33,40,993
2010,11,68,SOUTH PLATTE RIVER AT ENGLEWOOD,6711565,31326.83,42,994
2010,12,61,CHERRY CREEK AT DENVER,6713500,1541.83,38,1022
2010,13,68,SOUTH PLATTE RIVER AT DENVER,6714000,35629.17,42,1028
2010,14,56,CLEAR CREEK AT DERBY,6720000,14675.75,35,1273
2010,15,79,COAL CREEK NEAR PLAINVIEW,6730300,387.5,49,436
2010,16,29,BIG DRY CREEK AT WESTMINSTER,6720820,539.17,18,666
2010,17,63,SOUTH PLATTE RIVER AT HENDERSON,6720500,51234.5,39,1290
2010,18,66,SOUTH PLATTE RIVER AT FORT LUPTON,6721000,54184.42,41,1300
2010,19,58,SOUTH BOULDER CREEK NEAR ELDORADO SPRINGS,6729500,4146.92,36,482
2010,20,32,MIDDLE BOULDER CREEK AT NEDERLAND,6725500,2952.25,20,512
2010,21,71,FOURMILE CREEK AT ORODELL,6727500,437.25,44,510
2010,22,79,LEFT HAND CREEK NEAR BOULDER,6724500,910.83,49,402
2010,23,60,BOULDER CREEK AT MOUTH NEAR LONGMONT,6730500,11101.5,37,587
2010,24,63,"ST. VRAIN CREEK AT MOUTH, NEAR PLATTEVILLE",6731000,24748.58,39,596
2010,25,84,LITTLE THOMPSON RIVER AT CANYON MOUTH NEAR BERTHOUD,LTCANYCO,1350.5,52,194
2010,26,84,FISH CREEK NEAR ESTES PARK,6734500,198.17,52,254
2010,27,71,"BIG THOMPSON RIVER AT MOUTH, NEAR LA SALLE",6744000,14242.42,44,299
