"Date","South_Platte_near_Lake_George_Natural_Flow","South_Platte_near_Lake_George_Regulated_Flow","South_Platte_near_Lake_George_Available_Flow"
2000-01-01,1339.00,4527.74,1964.93
2000-02-01,2619.00,5649.43,3619.53
2000-03-01,5704.00,6155.67,4202.42
2000-04-01,8109.00,8943.18,944.74
2000-05-01,15481.00,13187.00,11973.28
2000-06-01,18524.00,17069.66,9434.37
2000-07-01,8262.00,10822.64,3416.32
2000-08-01,2704.00,9369.99,0.00
2000-09-01,1508.00,6339.54,0.00
2000-10-01,2118.00,4915.90,0.00
2000-11-01,1085.00,4879.64,0.00
2000-12-01,1225.00,5407.88,0.00
2001-01-01,363.00,3427.91,0.00
2001-02-01,908.00,5729.61,0.03
2001-03-01,4558.00,5609.29,0.00
2001-04-01,6287.00,9661.37,3675.37
2001-05-01,20347.00,16077.78,9318.77
2001-06-01,24826.00,16388.68,5320.02
2001-07-01,11997.00,15172.36,994.28
2001-08-01,6459.00,11474.39,0.00
2001-09-01,2157.00,8700.69,0.00
2001-10-01,181.00,4529.23,0.00
2001-11-01,1184.00,5445.68,0.00
2001-12-01,174.00,5804.88,0.00
2002-01-01,503.00,4326.41,0.03
2002-02-01,368.00,4312.86,0.00
2002-03-01,2339.00,6689.18,0.00
2002-04-01,2391.00,6192.79,0.00
2002-05-01,2663.00,7489.62,0.00
2002-06-01,2970.00,7767.21,0.00
2002-07-01,0.00,18730.63,0.00
2002-08-01,0.00,18276.09,0.00
2002-09-01,70.00,15106.60,0.00
2002-10-01,1549.00,14973.33,0.00
2002-11-01,13.00,12657.06,0.00
2002-12-01,769.00,13563.68,0.00
2003-01-01,323.00,2373.63,0.00
2003-02-01,1624.00,2773.03,0.00
2003-03-01,3371.00,2836.33,0.00
2003-04-01,3293.00,2518.93,0.00
2003-05-01,7968.00,1616.56,0.00
2003-06-01,20399.00,2779.49,649.66
2003-07-01,7885.00,829.11,829.11
2003-08-01,3359.00,5851.03,630.11
2003-09-01,3977.00,8141.90,0.00
2003-10-01,1305.00,4275.73,0.00
2003-11-01,731.00,3529.96,460.02
2003-12-01,1079.00,3034.20,0.00
2004-01-01,219.00,2492.97,0.00
2004-02-01,2258.00,4589.44,0.00
2004-03-01,2122.00,1673.46,0.00
2004-04-01,4344.00,1396.79,0.06
2004-05-01,8219.00,1637.43,0.00
2004-06-01,12146.00,2203.97,0.00
2004-07-01,9743.00,1260.06,819.23
2004-08-01,2907.00,2490.17,0.00
2004-09-01,610.00,5226.98,0.00
2004-10-01,1756.00,731.11,0.00
2004-11-01,1561.00,4029.35,4029.35
2004-12-01,601.00,3173.55,1830.19
2005-01-01,1363.00,6128.84,0.00
2005-02-01,1797.00,6200.75,0.00
2005-03-01,2655.00,6806.23,0.00
2005-04-01,3918.00,942.18,0.00
2005-05-01,7740.00,1673.89,0.00
2005-06-01,12443.00,2593.92,2593.92
2005-07-01,5700.00,1265.32,0.00
2005-08-01,3979.00,6844.13,838.12
2005-09-01,0.00,6415.94,0.00
2005-10-01,4153.00,5705.85,0.00
2005-11-01,720.00,3511.77,0.00
2005-12-01,0.00,2831.15,0.00
2006-01-01,1385.00,4288.87,0.00
2006-02-01,699.00,3154.16,0.00
2006-03-01,2468.00,5308.52,0.00
2006-04-01,2645.00,6189.93,0.00
2006-05-01,11480.00,2708.87,0.00
2006-06-01,14433.00,9547.93,0.00
2006-07-01,14247.00,8899.14,4069.23
2006-08-01,8814.00,10520.19,2.53
2006-09-01,2978.00,6222.32,995.92
2006-10-01,5188.00,4851.06,0.04
2006-11-01,1172.00,3038.89,0.00
2006-12-01,1628.00,4490.74,0.00
2007-01-01,1608.00,4372.45,0.00
2007-02-01,1500.00,4026.35,0.00
2007-03-01,5038.00,5489.15,0.00
2007-04-01,3945.00,5666.71,1225.21
2007-05-01,18111.00,5836.92,5836.92
2007-06-01,21542.00,13864.25,13864.25
2007-07-01,13537.00,12082.73,660.07
2007-08-01,10375.00,14005.20,2047.30
2007-09-01,2419.00,6995.04,0.00
2007-10-01,1414.00,4452.99,1289.19
2007-11-01,1485.00,4261.10,2545.61
2007-12-01,1769.00,4585.88,0.00
2008-01-01,1549.00,4455.41,0.00
2008-02-01,1089.00,3727.76,0.00
2008-03-01,4398.00,5951.65,0.06
2008-04-01,8761.00,8623.52,491.36
2008-05-01,10588.00,8070.88,0.00
2008-06-01,23975.00,10313.83,5874.45
2008-07-01,18640.00,18013.82,0.06
2008-08-01,9329.00,13588.56,8117.03
2008-09-01,2398.00,5868.76,0.00
2008-10-01,1354.00,5645.94,0.02
2008-11-01,1529.00,6276.37,702.88
2008-12-01,1512.00,6293.21,0.06
2009-01-01,1172.00,4349.36,0.00
2009-02-01,1499.00,6092.46,0.00
2009-03-01,2751.00,5399.94,0.00
2009-04-01,4256.00,8342.06,3807.93
2009-05-01,15634.00,6484.21,0.01
2009-06-01,22868.00,18421.41,18421.41
2009-07-01,11947.00,10595.81,10595.81
2009-08-01,882.00,5020.16,2165.27
2009-09-01,3202.00,8465.43,0.00
2009-10-01,1052.00,3059.29,1336.01
2009-11-01,1448.00,3091.19,0.00
2009-12-01,552.00,2960.14,0.00
2010-01-01,786.00,3544.95,0.00
2010-02-01,1171.00,3711.53,0.00
2010-03-01,2970.00,5356.26,1399.51
2010-04-01,13324.00,12421.42,12421.42
2010-05-01,8401.00,4352.92,4352.92
2010-06-01,22161.00,13509.37,13509.37
2010-07-01,8937.00,7341.62,0.00
2010-08-01,8887.00,13767.40,0.00
2010-09-01,0.00,7012.61,0.00
2010-10-01,1386.00,3528.17,556.23
2010-11-01,884.00,5610.01,0.94
2010-12-01,1339.00,4894.42,0.00
2011-01-01,896.00,5793.90,0.00
2011-02-01,1247.00,5688.50,0.00
2011-03-01,2552.00,5623.78,0.00
2011-04-01,1449.00,3428.01,0.00
2011-05-01,4663.00,2150.76,0.00
2011-06-01,23192.00,9109.63,9109.63
2011-07-01,27074.00,24501.36,24501.36
2011-08-01,8345.00,13059.21,2404.37
2011-09-01,3712.00,9649.68,0.00
2011-10-01,1956.00,4269.32,772.74
2011-11-01,1594.00,4279.05,0.00
2011-12-01,1551.00,5154.58,0.00
2012-01-01,981.00,6160.27,0.00
2012-02-01,1394.00,4249.51,0.00
2012-03-01,2944.00,6771.55,0.00
