"Date","South_Platte_at_Julesburg_Natural_Flow","South_Platte_at_Julesburg_Regulated_Flow","South_Platte_at_Julesburg_Available_Flow"
2000-01-01,60914.00,88778.85,88322.98
2000-02-01,54323.00,68819.12,68418.74
2000-03-01,75009.00,49416.15,49068.98
2000-04-01,113201.00,33186.46,25846.82
2000-05-01,215965.00,27375.22,19739.06
2000-06-01,196004.00,16321.44,9434.37
2000-07-01,117078.00,12769.15,6225.10
2000-08-01,68148.00,9893.04,2575.04
2000-09-01,70397.00,10706.25,3882.18
2000-10-01,69197.00,22889.95,17770.92
2000-11-01,42348.00,1342.18,678.49
2000-12-01,41248.00,7228.20,6233.09
2001-01-01,43748.00,20059.33,19212.13
2001-02-01,38101.00,36199.52,35463.19
2001-03-01,68541.00,14762.21,14110.01
2001-04-01,83445.00,43441.12,35830.93
2001-05-01,270070.00,48803.93,40925.54
2001-06-01,229901.00,15814.51,8187.50
2001-07-01,155040.00,5368.27,1240.48
2001-08-01,93856.00,11001.68,2940.76
2001-09-01,76361.00,9013.77,4518.65
2001-10-01,55412.00,21875.29,16109.18
2001-11-01,43745.00,4620.63,4104.14
2001-12-01,42385.00,15510.99,14757.20
2002-01-01,44165.00,16885.07,16225.50
2002-02-01,29530.00,15388.21,14798.49
2002-03-01,47361.00,10689.03,10159.41
2002-04-01,43585.00,7463.79,0.00
2002-05-01,76470.00,7784.55,143.35
2002-06-01,93466.00,7285.89,1103.11
2002-07-01,36821.00,9369.25,2374.38
2002-08-01,36001.00,9410.53,2873.10
2002-09-01,51181.00,13047.43,4720.95
2002-10-01,50527.00,10313.17,5597.13
2002-11-01,40302.00,4771.57,4256.88
2002-12-01,35420.00,4910.01,4105.05
2003-01-01,28735.00,10183.75,9495.70
2003-02-01,28050.00,1386.30,791.99
2003-03-01,86293.00,4203.44,3676.27
2003-04-01,168431.00,7362.29,0.00
2003-05-01,263934.00,4179.65,748.69
2003-06-01,344418.00,5654.71,649.66
2003-07-01,154132.00,8523.85,2223.41
