"Date","Eleven Mile Canyon Reservoir","Eleven Mile Canyon Reservoir-Total Capacity","Chatfield Reservoir","Chatfield Reservoir-Total Capacity","North Sterling Reservoir","North Sterling Reservoir-Total Capacity","Carter Lake","Carter Lake-Total Capacity"
1993-01,81917.00,97779.00,0.00,27076.00,52490.00,80590.00,0.00,112230.00
1993-02,81889.77,97779.00,834.81,27076.00,57755.87,80590.00,16380.02,112230.00
1993-03,81699.19,97779.00,1521.28,27076.00,68337.77,80590.00,30609.83,112230.00
1993-04,81316.21,97779.00,236.36,27076.00,69346.37,80590.00,28164.13,112230.00
1993-05,80710.44,97779.00,0.00,27076.00,71589.78,80590.00,28752.04,112230.00
1993-06,79897.31,97779.00,4.91,27076.00,60956.96,80590.00,26342.81,112230.00
1993-07,78903.77,97779.00,7002.44,27076.00,58692.31,80590.00,22606.90,112230.00
1993-08,78189.16,97779.00,8998.23,27076.00,27774.85,80590.00,11484.23,112230.00
1993-09,77850.75,97779.00,10091.38,27076.00,3463.46,80590.00,11175.97,112230.00
1993-10,77182.53,97779.00,9894.30,27076.00,3369.38,80590.00,22407.95,112230.00
1993-11,76731.88,97779.00,7680.52,27076.00,3308.05,80590.00,34759.60,112230.00
1993-12,76486.25,97779.00,9123.68,27076.00,9125.88,80590.00,35102.79,112230.00
1994-01,76448.55,97779.00,10672.32,27076.00,21758.00,80590.00,54703.25,112230.00
1994-02,76422.63,97779.00,12140.85,27076.00,49263.66,80590.00,70740.44,112230.00
1994-03,76241.27,97779.00,12814.47,27076.00,66210.87,80590.00,75570.75,112230.00
1994-04,75876.84,97779.00,12799.45,27076.00,68760.06,80590.00,78701.24,112230.00
1994-05,75300.27,97779.00,12698.62,27076.00,66841.54,80590.00,77894.49,112230.00
1994-06,80284.55,97779.00,6264.19,27076.00,59322.63,80590.00,77493.55,112230.00
1994-07,90022.22,97779.00,2345.54,27076.00,43932.28,80590.00,69496.36,112230.00
1994-08,89229.13,97779.00,4731.99,27076.00,20627.71,80590.00,57458.71,112230.00
1994-09,88850.32,97779.00,7956.44,27076.00,3417.26,80590.00,43058.37,112230.00
1994-10,88114.59,97779.00,7268.85,27076.00,3324.44,80590.00,48306.30,112230.00
1994-11,89746.29,97779.00,7079.15,27076.00,3263.92,80590.00,68263.73,112230.00
1994-12,89470.98,97779.00,7032.21,27076.00,3229.54,80590.00,82906.19,112230.00
1995-01,89428.72,97779.00,8416.63,27076.00,15987.14,80590.00,82069.27,112230.00
1995-02,89399.67,97779.00,10747.37,27076.00,26207.24,80590.00,81145.45,112230.00
1995-03,89196.42,97779.00,12672.11,27076.00,45526.54,80590.00,93699.57,112230.00
1995-04,88787.97,97779.00,13489.81,27076.00,67891.07,80590.00,108967.22,112230.00
1995-05,88141.91,97779.00,17852.02,27076.00,67516.77,80590.00,108193.55,112230.00
1995-06,88376.29,97779.00,18072.74,27076.00,72677.91,80590.00,107771.86,112230.00
1995-07,102105.79,97779.00,49169.07,27076.00,72980.75,80590.00,108689.32,112230.00
1995-08,101173.80,97779.00,26357.16,27076.00,68700.31,80590.00,102493.52,112230.00
1995-09,101737.68,97779.00,19850.40,27076.00,40021.41,80590.00,88578.25,112230.00
1995-10,100928.84,97779.00,20528.67,27076.00,30762.89,80590.00,79327.11,112230.00
1995-11,100382.32,97779.00,21087.38,27076.00,30427.95,80590.00,79606.00,112230.00
1995-12,100084.04,97779.00,18871.45,27076.00,38202.15,80590.00,80331.73,112230.00
1996-01,100038.23,97779.00,17825.30,27076.00,52528.70,80590.00,83988.34,112230.00
1996-02,100006.73,97779.00,17757.30,27076.00,60391.00,80590.00,83303.98,112230.00
1996-03,99786.34,97779.00,20858.64,27076.00,70015.44,80590.00,82712.91,112230.00
1996-04,99343.20,97779.00,21218.10,27076.00,69900.98,80590.00,82598.74,112230.00
1996-05,99712.34,97779.00,19532.45,27076.00,67611.35,80590.00,82104.53,112230.00
1996-06,100951.64,97779.00,19269.18,27076.00,65214.26,80590.00,76696.70,112230.00
1996-07,99723.31,97779.00,25811.53,27076.00,65774.38,80590.00,72977.41,112230.00
1996-08,100149.41,97779.00,21129.45,27076.00,35465.88,80590.00,66347.45,112230.00
1996-09,100524.54,97779.00,20445.96,27076.00,13159.98,80590.00,47609.21,112230.00
1996-10,99720.88,97779.00,22105.90,27076.00,12870.48,80590.00,48108.38,112230.00
1996-11,99527.48,97779.00,22472.05,27076.00,12679.21,80590.00,47480.30,112230.00
1996-12,99230.56,97779.00,22397.11,27076.00,32906.68,80590.00,61224.64,112230.00
1997-01,99184.95,97779.00,22325.19,27076.00,54455.19,80590.00,70705.57,112230.00
1997-02,99153.59,97779.00,22247.17,27076.00,63249.95,80590.00,85471.52,112230.00
1997-03,98934.20,97779.00,22157.92,27076.00,70012.15,80590.00,100956.84,112230.00
1997-04,98493.08,97779.00,21228.19,27076.00,70181.42,80590.00,108619.23,112230.00
1997-05,99129.04,97779.00,24589.70,27076.00,68798.63,80590.00,108897.24,112230.00
1997-06,99020.03,97779.00,21162.38,27076.00,67674.23,80590.00,108073.55,112230.00
1997-07,101429.06,97779.00,26371.26,27076.00,72575.80,80590.00,108689.15,112230.00
1997-08,100630.02,97779.00,27009.05,27076.00,51064.12,80590.00,93787.04,112230.00
1997-09,100557.88,97779.00,26896.76,27076.00,50185.21,80590.00,86609.34,112230.00
1997-10,99754.08,97779.00,25971.58,27076.00,35499.72,80590.00,76353.40,112230.00
1997-11,99210.97,97779.00,26819.16,27076.00,35133.42,80590.00,75600.80,112230.00
1997-12,99361.23,97779.00,26944.34,27076.00,55134.75,80590.00,75293.89,112230.00
1998-01,99548.74,97779.00,26951.27,27076.00,69516.37,80590.00,84903.86,112230.00
1998-02,99517.34,97779.00,26944.24,27076.00,69500.34,80590.00,100346.86,112230.00
1998-03,99297.51,97779.00,26931.38,27076.00,70001.80,80590.00,108963.47,112230.00
1998-04,99421.34,97779.00,26699.48,27076.00,70181.45,80590.00,108546.61,112230.00
1998-05,98719.40,97779.00,27012.65,27076.00,72156.13,80590.00,107983.69,112230.00
