Date,Node,Percentile,Node_Name,Node,Natural_Flow_AF,Rank,Node_Order
1950,0,3.17,CACHE LA POUDRE RIVER NE,6752500,28761,2,181
1950,1,14.29,LITTLE THOMPSON RIVER AT,LTCANYCO,2197,9,194
1950,2,14.29,FISH CREEK NEAR ESTES PA,6734500,404,9,254
1950,3,52.38,BIG THOMPSON RIVER AT MO,6744000,133768,33,299
1950,4,38.1,LEFT HAND CREEK NEAR BOU,6724500,6019,24,402
1950,5,58.73,COAL CREEK NEAR PLAINVIE,6730300,3333,37,436
1950,6,30.16,SOUTH BOULDER CREEK NEAR,6729500,38846,19,482
1950,7,7.94,FOURMILE CREEK AT ORODEL,6727500,2334,5,510
1950,8,14.29,MIDDLE BOULDER CREEK AT,6725500,29029,9,512
1950,9,38.1,BOULDER CREEK AT MOUTH N,6730500,107718,24,587
1950,10,31.75,ST. VRAIN CREEK AT MOUTH,6731000,213556,20,596
1950,11,7.94,BIG DRY CREEK AT WESTMIN,6720820,4003,5,666
1950,12,4.76,PLUM CREEK AT TITAN ROAD,6709530,9391,3,770
1950,13,28.57,NORTH FORK SOUTH PLATTE,PLAGRACO,39244,18,796
1950,14,19.05,NORTH FORK SOUTH PLATTE,PLABAICO,45761,12,804
1950,15,31.75,ROCK CREEK ABOVE CONFLUE,2302915,3932,20,864
1950,16,49.21,SOUTH PLATTE RIVER BELOW,PLAANTCO,20622,31,912
1950,17,22.22,S PLATTE RIV AB 11-MILE,6695000,46383,14,931
1950,18,20.63,SOUTH PLATTE RIVER NEAR,6696000,52200,13,936
1950,19,22.22,SOUTH PLATTE RIVER BELOW,6701500,106645,14,942
1950,20,17.46,SOUTH PLATTE RIVER AT SO,6707500,181310,11,943
1950,21,17.46,SOUTH PLATTE RIVER AT WA,6708000,180477,11,956
1950,22,15.87,BEAR CREEK AT SHERIDAN,6711500,17286,10,993
1950,23,17.46,SOUTH PLATTE RIVER AT EN,6711565,224811,11,994
1950,24,17.46,"CHERRY CREEK AT DENVER,",6713500,9740,11,1022
1950,25,17.46,SOUTH PLATTE RIVER AT DE,6714000,252435,11,1028
1950,26,20.63,CLEAR CREEK AT DERBY,6720000,139045,13,1273
1950,27,15.87,SOUTH PLATTE RIVER AT HE,6720500,383258,10,1290
1950,28,15.87,SOUTH PLATTE RIVER AT FO,6721000,406594,10,1300
1950,29,20.63,SOUTH PLATTE RIVER NEAR,6754000,826825,13,1344
1950,30,31.75,SOUTH PLATTE RIVER NEAR,6758500,1030350,20,1365
1950,31,33.33,SOUTH PLATTE RIVER AT CO,6759910,1098137,21,1392
1950,32,39.68,SOUTH PLATTE RIVER AT JU,6764000,1296984,25,1442
1951,0,25.4,CACHE LA POUDRE RIVER NE,6752500,55184,16,181
1951,1,66.67,LITTLE THOMPSON RIVER AT,LTCANYCO,11683,42,194
1951,2,80.95,FISH CREEK NEAR ESTES PA,6734500,2350,51,254
1951,3,87.3,BIG THOMPSON RIVER AT MO,6744000,230921,55,299
1951,4,82.54,LEFT HAND CREEK NEAR BOU,6724500,11315,52,402
1951,5,39.68,COAL CREEK NEAR PLAINVIE,6730300,2162,25,436
1951,6,85.71,SOUTH BOULDER CREEK NEAR,6729500,69264,54,482
1951,7,76.19,FOURMILE CREEK AT ORODEL,6727500,5607,48,510
1951,8,79.37,MIDDLE BOULDER CREEK AT,6725500,47374,50,512
1951,9,90.48,BOULDER CREEK AT MOUTH N,6730500,196880,57,587
1951,10,77.78,ST. VRAIN CREEK AT MOUTH,6731000,354141,49,596
1951,11,36.51,BIG DRY CREEK AT WESTMIN,6720820,7316,23,666
1951,12,7.94,PLUM CREEK AT TITAN ROAD,6709530,9683,5,770
1951,13,85.71,NORTH FORK SOUTH PLATTE,PLAGRACO,60896,54,796
1951,14,73.02,NORTH FORK SOUTH PLATTE,PLABAICO,68089,46,804
1951,15,22.22,ROCK CREEK ABOVE CONFLUE,2302915,3604,14,864
1951,16,71.43,SOUTH PLATTE RIVER BELOW,PLAANTCO,22642,45,912
1951,17,74.6,S PLATTE RIV AB 11-MILE,6695000,79990,47,931
1951,18,66.67,SOUTH PLATTE RIVER NEAR,6696000,82223,42,936
1951,19,46.03,SOUTH PLATTE RIVER BELOW,6701500,132271,29,942
1951,20,47.62,SOUTH PLATTE RIVER AT SO,6707500,232264,30,943
1951,21,34.92,SOUTH PLATTE RIVER AT WA,6708000,225335,22,956
1951,22,25.4,BEAR CREEK AT SHERIDAN,6711500,21512,16,993
1951,23,25.4,SOUTH PLATTE RIVER AT EN,6711565,264960,16,994
1951,24,9.52,"CHERRY CREEK AT DENVER,",6713500,8056,6,1022
1951,25,23.81,SOUTH PLATTE RIVER AT DE,6714000,290208,15,1028
1951,26,74.6,CLEAR CREEK AT DERBY,6720000,207878,47,1273
1951,27,31.75,SOUTH PLATTE RIVER AT HE,6720500,496110,20,1290
1951,28,33.33,SOUTH PLATTE RIVER AT FO,6721000,502972,21,1300
1951,29,55.56,SOUTH PLATTE RIVER NEAR,6754000,1196096,35,1344
1951,30,63.49,SOUTH PLATTE RIVER NEAR,6758500,1323635,40,1365
1951,31,65.08,SOUTH PLATTE RIVER AT CO,6759910,1394467,41,1392
1951,32,66.67,SOUTH PLATTE RIVER AT JU,6764000,1533018,42,1442
1952,0,33.33,CACHE LA POUDRE RIVER NE,6752500,62692,21,181
1952,1,87.3,LITTLE THOMPSON RIVER AT,LTCANYCO,18269,55,194
1952,2,88.89,FISH CREEK NEAR ESTES PA,6734500,2851,56,254
1952,3,80.95,BIG THOMPSON RIVER AT MO,6744000,191278,51,299
1952,4,95.24,LEFT HAND CREEK NEAR BOU,6724500,17394,60,402
1952,5,68.25,COAL CREEK NEAR PLAINVIE,6730300,3990,43,436
1952,6,90.48,SOUTH BOULDER CREEK NEAR,6729500,73431,57,482
1952,7,90.48,FOURMILE CREEK AT ORODEL,6727500,6565,57,510
1952,8,87.3,MIDDLE BOULDER CREEK AT,6725500,51755,55,512
1952,9,85.71,BOULDER CREEK AT MOUTH N,6730500,186236,54,587
1952,10,87.3,ST. VRAIN CREEK AT MOUTH,6731000,390441,55,596
1952,11,23.81,BIG DRY CREEK AT WESTMIN,6720820,5638,15,666
1952,12,46.03,PLUM CREEK AT TITAN ROAD,6709530,17381,29,770
1952,13,79.37,NORTH FORK SOUTH PLATTE,PLAGRACO,57205,50,796
1952,14,68.25,NORTH FORK SOUTH PLATTE,PLABAICO,66580,43,804
1952,15,68.25,ROCK CREEK ABOVE CONFLUE,2302915,5622,43,864
1952,16,79.37,SOUTH PLATTE RIVER BELOW,PLAANTCO,23716,50,912
1952,17,82.54,S PLATTE RIV AB 11-MILE,6695000,94043,52,931
1952,18,79.37,SOUTH PLATTE RIVER NEAR,6696000,98891,50,936
1952,19,74.6,SOUTH PLATTE RIVER BELOW,6701500,176613,47,942
1952,20,69.84,SOUTH PLATTE RIVER AT SO,6707500,284762,44,943
1952,21,63.49,SOUTH PLATTE RIVER AT WA,6708000,274851,40,956
1952,22,58.73,BEAR CREEK AT SHERIDAN,6711500,39588,37,993
1952,23,60.32,SOUTH PLATTE RIVER AT EN,6711565,340933,38,994
1952,24,30.16,"CHERRY CREEK AT DENVER,",6713500,12679,19,1022
1952,25,50.79,SOUTH PLATTE RIVER AT DE,6714000,369231,32,1028
1952,26,80.95,CLEAR CREEK AT DERBY,6720000,239369,51,1273
1952,27,52.38,SOUTH PLATTE RIVER AT HE,6720500,579968,33,1290
1952,28,47.62,SOUTH PLATTE RIVER AT FO,6721000,588815,30,1300
1952,29,60.32,SOUTH PLATTE RIVER NEAR,6754000,1241642,38,1344
1952,30,55.56,SOUTH PLATTE RIVER NEAR,6758500,1271234,35,1365
1952,31,57.14,SOUTH PLATTE RIVER AT CO,6759910,1326377,36,1392
1952,32,63.49,SOUTH PLATTE RIVER AT JU,6764000,1442196,40,1442
1953,0,7.94,CACHE LA POUDRE RIVER NE,6752500,36553,5,181
1953,1,17.46,LITTLE THOMPSON RIVER AT,LTCANYCO,2492,11,194
1953,2,22.22,FISH CREEK NEAR ESTES PA,6734500,620,14,254
1953,3,44.44,BIG THOMPSON RIVER AT MO,6744000,121247,28,299
1953,4,47.62,LEFT HAND CREEK NEAR BOU,6724500,7128,30,402
1953,5,36.51,COAL CREEK NEAR PLAINVIE,6730300,2077,23,436
1953,6,36.51,SOUTH BOULDER CREEK NEAR,6729500,41149,23,482
1953,7,26.98,FOURMILE CREEK AT ORODEL,6727500,3112,17,510
1953,8,39.68,MIDDLE BOULDER CREEK AT,6725500,36369,25,512
1953,9,41.27,BOULDER CREEK AT MOUTH N,6730500,112459,26,587
1953,10,26.98,ST. VRAIN CREEK AT MOUTH,6731000,202981,17,596
1953,11,14.29,BIG DRY CREEK AT WESTMIN,6720820,4793,9,666
1953,12,34.92,PLUM CREEK AT TITAN ROAD,6709530,15353,22,770
